"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"THE COLONNADE AT NORTHDALE","TAMPA","Hillsborough","125","5","3","$0.00","16","0","0","14","2","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Memory Care|Physical Therapy|Speech Therapy"
"THE COLONY CLUB ALF","SUNRISE","Broward","110","6","6","$1,700.00","1","0","0","1","0","0","2","Direct 24hr|Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE CONNIE HOUSE ALF","BOYNTON BEACH","Palm Beach","6","0","0","$0.00","0","0","0","0","0","0","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"THE COUNTRY COTTAGE LLC","CANTONMENT","Escambia","14","0","0","$0.00","2","0","0","2","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"THE COURT AT PALM AIRE","POMPANO BEACH","Broward","90","0","1","$0.00","5","0","0","4","1","0","1","Direct 24hr","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","6","Audiology|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE COURTYARD AT GRANADA","KISSIMMEE","Osceola","14","0","0","$0.00","2","0","0","2","0","0","1","Direct Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","NR","NR"
"THE COVE AT MARSH LANDING","JACKSONVILLE BEACH","Duval","110","1","4","$500.00","4","0","0","2","2","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE COVE AT TAVARES VILLAGE","TAVARES","Lake","94","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE DOLPHIN HOUSE ASSISTED LIVING FACILITY","SEMINOLE","Pinellas","10","0","0","$0.00","2","0","0","2","0","0","1","None","5","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"THE EBENEZER ALF II LLC","LEHIGH ACRES","Lee","10","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"THE EDEN INN ALF","FORT LAUDERDALE","Broward","8","0","8","$5,750.00","5","0","0","2","1","2","1","Direct 24hr","8","Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","4","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy"
"THE ELITE ALF AT CAPE CORAL LLC","CAPE CORAL","Lee","100","9","5","$37,500.00","15","3","2","10","0","0","1","Direct Part-Time","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"THE ELITE ALF AT NAPLES LLC","NAPLES","Collier","70","4","4","$14,000.00","12","0","6","4","1","1","2","Direct Part-Time|3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE ELITE MANOR, INC","BOCA RATON","Palm Beach","6","0","0","$0.00","1","0","0","0","0","1","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"THE ENGLAND'S PLACE LLC","HOLLYWOOD","Broward","6","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Shopping|Theater and Movies","3","Massage Therapy/Spa|Physical Therapy|Other"
"THE FAIRWAYS AT NAPLES","NAPLES","Collier","60","2","0","$0.00","11","0","0","7","0","4","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"THE FANNIE E. TAYLOR HOME FOR THE AGED-TAYLOR MANOR, INC.","JACKSONVILLE","Duval","90","0","0","$0.00","2","0","0","2","0","0","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies|Other","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE FOUNTAINS OF HOPE","SARASOTA","Sarasota","116","2","3","$11,000.00","16","0","2","12","1","1","1","Direct 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE GABLES OF GAINESVILLE","GAINESVILLE","Alachua","79","2","2","$1,000.00","19","0","0","19","0","0","1","Direct 24hr","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE GABLES OF PALM HARBOR","PALM HARBOR","Pinellas","128","5","11","$28,500.00","16","0","0","14","0","2","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE GALLERY AT CAPE CORAL","CAPE CORAL","Lee","109","7","2","$2,500.00","20","0","0","18","0","2","1","Direct 24hr","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE GALLERY AT PORT ORANGE","PORT ORANGE","Volusia","92","0","1","$0.00","0","0","0","0","0","0","NR","NR","6","Arts and Crafts|Dancing|Exercise Classes|Gardening|Music Programs|Shopping","1","Memory Care"
"THE GARDEN OF HEALTH, INC","FORT LAUDERDALE","Broward","7","0","0","$0.00","5","0","0","5","0","0","1","3rd Party 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"THE GARDENS ASSISTED LIVING & MEMORY CARE","CRYSTAL RIVER","Citrus","70","3","1","$500.00","5","0","0","4","1","0","1","None","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE GARDENS OF LAKE ALFRED","LAKE ALFRED","Polk","100","6","0","$0.00","16","0","0","16","0","0","1","3rd Party Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Audiology|Massage Therapy/Spa|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE GARDENS OF PORT ST LUCIE","PORT SAINT LUCIE","St. Lucie","110","0","2","$0.00","0","0","0","0","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","NR","NR"
"THE GLADES AT CHAMPIONSGATE","CHAMPIONS GATE","Polk","224","6","2","$4,500.00","13","0","1","12","0","0","NR","NR","NR","NR","NR","NR"
"THE GOLDEN YEARS GROUP CORP.","MIAMI","Miami-Dade","6","2","2","$400.00","21","0","0","21","0","0","1","Direct 24hr","4","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"THE GOLDTON AT ST. PETERSBURG","SAINT PETERSBURG","Pinellas","105","6","2","$1,000.00","20","0","0","17","2","1","1","Direct Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE GOLDTON AT VENICE","NOKOMIS","Sarasota","55","0","0","$0.00","2","0","0","2","0","0","2","Direct Part-Time|3rd Party Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE GRANDE SENIOR LIVING","BROOKSVILLE","Hernando","162","4","0","$0.00","0","0","0","0","0","0","2","Direct Part-Time|3rd Party Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Physical Therapy"
"THE GROVE AT CANOPY","TALLAHASSEE","Leon","96","4","0","$0.00","8","0","0","8","0","0","2","Direct 24hr|3rd Party 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","7","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE HARBOR HOUSE OF OCALA","DUNNELLON","Marion","60","4","1","$5,000.00","8","0","1","7","0","0","NR","NR","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Occupational Therapy|Physical Therapy|Speech Therapy|Other"
"THE HARMONY HOUSE OF OCALA","OCALA","Marion","54","5","2","$500.00","13","0","0","11","0","2","2","Direct Part-Time|3rd Party Part-Time","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Other","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"THE HARRISON OF WILDWOOD ASSISTED LIVING AND MEMORY CARE","WILDWOOD","Sumter","111","6","1","$50.00","7","0","0","7","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE HORIZON CLUB","DEERFIELD BEACH","Broward","68","3","3","$350.00","1","0","0","1","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","7","Audiology|Massage Therapy/Spa|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE HOUSE OF BOSTICS, LLC","SAINT PETERSBURG","Pinellas","16","1","2","$500.00","1","0","0","1","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","1","Other"
"THE INN AT AGING GRACE","JACKSONVILLE","Duval","24","3","2","$5,500.00","5","0","1","4","0","0","1","Direct 24hr","6","Arts and Crafts|Exercise Classes|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"THE INN AT ASTON GARDENS","PARKLAND","Broward","100","1","2","$0.00","2","0","0","2","0","0","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"THE INN AT ASTON GARDENS AT PELICAN MARSH","NAPLES","Collier","120","1","0","$0.00","9","0","0","8","0","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE INN AT PLAZA WEST","SUN CITY CENTER","Hillsborough","40","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","12","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga|Other","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"THE LAKESIDE AT AMELIA ISLAND","FERNANDINA BEACH","Nassau","100","1","0","$0.00","7","0","0","7","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE LANDING OF PANAMA CITY BEACH","PANAMA CITY BEACH","Bay","70","5","0","$0.00","8","0","0","8","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Massage Therapy/Spa|Memory Care|Occupational Therapy|Physical Therapy"
"THE LANDMARK","CLEARWATER","Pinellas","93","7","2","$1,500.00","17","0","0","16","1","0","1","Direct 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE LEGACY AT ST JOHNS","ST. JOHNS","St. Johns","82","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","6","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE LOVING CARE HOME LLC","PORT SAINT LUCIE","St. Lucie","6","0","0","$0.00","1","0","0","1","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"THE MADYSON AT PALM BEACH GARDENS","PALM BEACH GARDENS","Palm Beach","256","3","1","$5,000.00","12","0","1","8","2","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE MAGNOLIA AT MEASE LIFE","DUNEDIN","Pinellas","36","1","0","$0.00","1","0","0","1","0","0","NR","NR","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","6","Audiology|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE MANOR AT LAKE JACKSON - MEMORY CARE LLC","SEBRING","Highlands","60","3","0","$0.00","3","0","0","2","0","1","1","None","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"THE MANOR AT LAKE MORTON, LLC","LAKELAND","Polk","48","2","0","$0.00","4","0","0","4","0","0","1","None","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"THE MANOR OF FORT PIERCE","FORT PIERCE","St. Lucie","33","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"THE MEADOWS OF SARASOTA SENIOR LIVING","SARASOTA","Sarasota","75","3","3","$1,350.00","7","0","0","7","0","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Pet Therapy|Physical Therapy|Speech Therapy"
"THE MERIDIAN AT BOCA RATON","BOCA RATON","Palm Beach","168","13","0","$0.00","20","0","0","15","4","1","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE MERIDIAN AT LANTANA","LANTANA","Palm Beach","104","0","2","$1,000.00","10","0","0","6","1","3","2","Direct Part-Time|3rd Party 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Audiology|Occupational Therapy|Physical Therapy"
"THE MERIDIAN AT WATERWAYS","FORT LAUDERDALE","Broward","130","1","0","$0.00","7","0","0","5","2","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Massage Therapy/Spa|Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE MERIDIAN AT WESTWOOD","FORT WALTON BEACH","Okaloosa","150","2","0","$0.00","8","0","0","8","0","0","1","Direct Part-Time","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE MONARCH AT COCONUT CREEK ASSISTED LIVING AND MEMORY CARE","COCONUT CREEK","Broward","96","0","1","$400.00","4","0","0","3","0","1","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","1","Memory Care"
"THE OASIS AT CORAL REEF","MIAMI","Miami-Dade","105","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","7","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE OPAL AT BLUEWATER BAY","NICEVILLE","Okaloosa","50","0","0","$0.00","1","0","0","0","1","0","1","Direct 24hr","6","Arts and Crafts|Exercise Classes|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"THE OPAL AT LAKES PARK","FORT MYERS","Lee","60","1","1","$1,500.00","10","0","0","7","3","0","1","Direct Part-Time","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"THE OPAL AT SPRING HILL","SPRING HILL","Hernando","65","0","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"THE OPAL ON HERMITAGE","TALLAHASSEE","Leon","75","0","2","$500.00","0","0","0","0","0","0","1","Direct Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Occupational Therapy"
"THE PALACE AT CORAL GABLES","CORAL GABLES","Miami-Dade","85","0","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE PALACE AT WESTON","WESTON","Broward","228","1","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE PALMS ALF CORP","SUNRISE","Broward","6","0","0","$0.00","2","0","0","2","0","0","1","3rd Party 24hr","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Theater and Movies","NR","NR"
"THE PALMS ASSISTED LIVING CORP","HIALEAH","Miami-Dade","72","2","2","$15,000.00","10","0","2","6","2","0","1","None","5","Arts and Crafts|Dancing|Gardening|Social Events/Outings|Theater and Movies","3","Memory Care|Occupational Therapy|Speech Therapy"
"THE PALMS AT PLANTATION","PLANTATION","Broward","126","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"THE PALMS AT SEBRING ASSISTED LIVING","SEBRING","Highlands","141","3","3","$1,000.00","13","0","1","11","0","1","1","Direct 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Audiology|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE PAVILION OF DOWNTOWN VENICE","VENICE","Sarasota","90","22","7","$29,750.00","28","0","6","20","1","1","1","3rd Party Part-Time","8","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE PAVILION OF EAST TAMPA","TAMPA","Hillsborough","135","14","7","$12,500.00","32","0","3","26","0","3","1","3rd Party 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE PAVILION OF NEW PORT RICHEY","NEW PORT RICHEY","Pasco","100","9","1","$5,450.00","3","0","0","2","0","1","1","None","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE PERFECT PLACE ALF 2 INC","PORT SAINT LUCIE","St. Lucie","5","0","1","$0.00","3","0","0","2","1","0","1","3rd Party 24hr","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping","NR","NR"
"THE PLACE ALF LLC","MIAMI","Miami-Dade","6","0","1","$500.00","1","0","0","1","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"THE POINTE","SAINT PETERSBURG","Pinellas","100","12","7","$23,500.00","34","2","1","27","0","4","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
